;name;year;s;sdate;e;edate;dur
103;м.Челюскин;2005.0;2005-08-10 00:00:00;222.0;2005-11-23 00:00:00;327.0;105.0
104;м.Челюскин;2006.0;-99;-99.0;-99;-99.0;-99.0
105;м.Челюскин;2007.0;2007-05-09 00:00:00;129.0;2007-09-12 00:00:00;255.0;126.0
106;м.Челюскин;2008.0;2008-06-25 00:00:00;177.0;2008-09-24 00:00:00;268.0;91.0
107;м.Челюскин;2009.0;2009-07-15 00:00:00;196.0;2009-10-13 00:00:00;286.0;90.0
108;м.Челюскин;2010.0;2010-06-08 00:00:00;159.0;2010-11-16 00:00:00;320.0;161.0
109;м.Челюскин;2011.0;2011-12-27 00:00:00;361.0;2011-12-27 00:00:00;361.0;0.0
110;м.Челюскин;2012.0;2012-12-31 00:00:00;366.0;2012-12-31 00:00:00;366.0;0.0
111;м.Челюскин;2013.0;-99;-99.0;-99;-99.0;-99.0
112;м.Челюскин;2014.0;-99;-99.0;-99;-99.0;-99.0
113;м.Челюскин;2015.0;2015-06-23 00:00:00;174.0;2015-09-22 00:00:00;265.0;91.0
114;м.Челюскин;2016.0;2016-09-20 00:00:00;264.0;2016-09-20 00:00:00;264.0;0.0
115;м.Челюскин;2017.0;-99;-99.0;-99;-99.0;-99.0
116;м.Челюскин;2018.0;2018-09-04 00:00:00;247.0;2018-10-09 00:00:00;282.0;35.0
117;м.Челюскин;2019.0;2019-06-04 00:00:00;155.0;2019-09-17 00:00:00;260.0;105.0
118;м.Челюскин;2020.0;2020-05-26 00:00:00;147.0;2020-10-06 00:00:00;280.0;133.0
119;м.Челюскин;2021.0;-99;-99.0;-99;-99.0;-99.0
120;Болван Нос;1998.0;1998-10-14 00:00:00;287.0;1998-10-14 00:00:00;287.0;0.0
121;Болван Нос;1999.0;1999-08-04 00:00:00;216.0;1999-10-27 00:00:00;300.0;84.0
122;Болван Нос;2000.0;2000-06-28 00:00:00;180.0;2000-11-29 00:00:00;334.0;154.0
123;Болван Нос;2001.0;-99;-99.0;-99;-99.0;-99.0
124;Болван Нос;2002.0;2002-07-16 00:00:00;197.0;2002-11-05 00:00:00;309.0;112.0
125;Болван Нос;2003.0;2003-05-28 00:00:00;148.0;2003-12-10 00:00:00;344.0;196.0
126;Болван Нос;2004.0;2004-07-14 00:00:00;196.0;2004-12-22 00:00:00;357.0;161.0
